Index,FEN,Moves
22662,3r2k1/p1b2ppp/5r2/5q2/1PPp2R1/5B1P/P2Q1PP1/4R1K1 b - c3 0 28,d4c3 d2d8 c7d8 e1e8
22663,r3r1k1/pb3p2/6pP/2pp1pN1/Q6P/2q5/PP1NnP2/1K1RR3 w - - 0 25,e1e2 c3d3 b1c1 d3e2 h6h7 g8g7
22664,1r4k1/p1p3p1/4p1rp/5p1q/3P4/1PP1PN2/P2K2Q1/R4R2 w - - 4 27,g2h2 h5h2 f3h2 g6g2 d2d3 g2h2
22665,8/6p1/pq1rRrk1/1pRP1p1p/7P/1P3P2/P1Q2P2/5K2 b - - 1 32,f6e6 d5e6 b6c5 c2c5
22666,r4rk1/pR3pp1/1nP4p/5q2/4p3/5B2/P2Q1PPP/R5K1 w - - 0 26,d2c2 f5f6 a1c1 e4f3
22667,4R3/ppp3p1/3p2k1/2q4p/3n1P2/8/PP1Q1PPP/6K1 w - - 0 26,g2g3 d4f3 g1g2 f3d2
22668,5bk1/5ppp/P2p4/8/4QP2/4P1P1/r2q2BP/5RK1 w - - 3 26,e4c4 d2g2
22669,2r5/P2R1pkp/4p1p1/1B1p4/3b1P2/7P/5PP1/6K1 b - - 0 31,e6e5 f4e5 d4e5 d7d5 c8c1 b5f1
22670,5r1k/2pr2p1/7p/2qp4/6Q1/8/PP3PPP/3R2K1 w - - 0 26,g4d7 c5f2 g1h1 f2f1 d1f1 f8f1
22671,6k1/5pp1/7p/1Q2p1q1/PP2Pn2/2Pr1BP1/5P2/5RK1 w - - 1 31,f3g2 f4e2 g1h2 d3g3 b5e2 g3g2
22672,2r3k1/p4pbp/Q3p1p1/8/1B1Pp2q/1P2P2P/P1r2PP1/R4RK1 w - - 8 22,b4c5 c8c5 d4c5 g7a1
22673,3R4/1pp2p1p/4p1k1/4np1N/1p4PK/1r2P2P/5P2/8 b - - 1 28,h7h6 d8g8 g6h7 h5f6
22674,8/5p2/pp2p1k1/3pP3/3P2KP/4P3/P7/8 w - - 3 38,g4f4 f7f5 e5f6 g6f6 h4h5 b6b5
22675,2kr2nr/p3b3/2b1p3/4Pp2/nP1P1Bpp/P1P1N3/3N1PPP/1R2R1K1 b - - 0 27,a4c3 b1c1 c8b8 c1c3
22676,8/3k2p1/8/p4p2/1p1K1P2/1P1P4/1P6/8 b - - 1 43,d7d6 d4c4 g7g5 f4g5
22677,2b3k1/p4p2/2p5/2N3p1/1P1p1npP/5PK1/P3r3/2R3R1 w - - 0 30,h4g5 f4h5 g3h4 e2h2
22678,4Q3/7k/p7/1p6/2pPb3/2P4q/P3p1P1/4R2K w - - 0 41,h1g1 h3g2
22679,6rk/p4prp/1p1p3b/2pP2P1/4qP1N/7P/PP5Q/3R2RK w - - 1 34,g1g2 h6g5
22680,r2qr1k1/1p4pp/1p1p1p2/2p5/3n4/1P2B1RP/1P1Q1PP1/3R2K1 b - - 1 23,d4f5 d2d5 g8h8 d5f5
22681,4k3/1R6/5K2/p5B1/8/1P6/3p2r1/8 w - - 4 59,f6e6 g2e2 e6f5 d2d1q b7b8 e8f7
22682,1r4k1/1r2Bpbp/4b1p1/Q7/3q4/8/3R1PPP/4R1K1 b - - 0 27,d4c3 d2d8 g7f8 a5c3 b8d8 e7d8
22683,4r2k/p2q2pp/1p4p1/5nP1/4NPQb/2PP3P/PP6/3R1RK1 w - - 5 25,f1f3 e8e4 d3e4 d7d1 f3f1 d1f1 g1f1 f5e3 f1e2 e3g4
22684,2k1r1r1/pppq3p/4Nb2/2pP1pp1/1P6/P2P3P/5PP1/1R1Q1RK1 w - - 0 21,b4c5 d7d5 e6c7 c8c7
22685,5k1Q/6r1/2npp1p1/2p4n/bp1bP1N1/3P2PP/r1P3BK/1R6 b - - 3 33,g7g8 b1f1 f8e7 h8g8
22686,2k1r3/pp3p2/1q1b4/8/1PpNbP2/P1P3Pp/3Q1K1P/RN6 w - - 4 30,a3a4 e4d3 a4a5 b6d8 b1a3 d6b4 a3c4 d3c4
22687,5r2/p4pRP/4pP2/4k3/8/P1p1K3/8/8 b - - 0 45,f8d8 g7g5 e5f6 g5g8
22688,r5k1/p4ppp/b1Q5/2P1p3/2q5/5PK1/P1P3PP/8 b - - 0 23,a6b5 c6a8 b5e8 a8e8
22689,2r3k1/3r2bp/1R6/p2qpp2/P1p5/4BPPP/1P2Q3/2R3K1 w - - 1 26,g1f2 f5f4 g3f4 e5f4
22690,7k/6r1/p4bBp/1pp1p3/4Q3/P4P1q/1P3P2/3R2K1 b - - 4 38,h3h5 e4a8 g7g8 a8g8 h8g8 g6h5
22691,6rq/p1p2k2/2p2r2/5p2/5Q2/1N3p2/PPPR3P/7K b - - 0 31,h8g7 d2d7 f7e8 d7g7
22692,2r5/5pp1/4p2p/1pk5/4P3/3K1P2/1R4PP/8 b - - 15 39,b5b4 b2c2 c5d6 c2c8
22693,b1r2rk1/p4pp1/1p2p2p/1q2B3/3PB3/1Pn2P2/P4QPP/2R2RK1 w - - 3 26,e4a8 c3e2 f2e2 b5e2
22694,r3q1k1/p1Rrpp1p/Bp1p2p1/3P3n/3QP3/5P2/PP4PP/2R3K1 w - - 7 21,a6b5 d7c7 c1c7 e8b5
22695,3r2k1/p3pqbp/1p2r1p1/5p2/2Q1PB2/P4PP1/1P5P/1RR3K1 w - - 4 23,e4f5 e6e1 g1g2 f7c4 c1c4 e1b1
22696,2rr1b1k/pp1q1pp1/8/P2PpN2/6R1/2P4P/2Q2PP1/4BK2 b - - 2 28,d7d5 g4h4 h8g8 f5e7 f8e7 c2h7 g8f8 h7h8
22697,r3k1r1/pp6/2p2Qb1/4P2p/8/8/PPKR2PP/4qB1R w q - 4 24,c2c3 e1c1 c3b3 c1d2 f6e6 e8f8
22698,2r1n1k1/2p3p1/1p5p/p2bRN2/8/1P6/P4PPP/6K1 b - - 3 29,c7c6 f5e7 g8f8 e7c8
22699,4r1k1/pp3pp1/2p1r2p/5q2/1P1P4/PQ4PP/3R1P1K/3R4 w - - 5 30,d4d5 e6e2 d2e2 e8e2
22700,3r1nk1/p4ppp/2Q1pn2/7q/2P5/1B3P2/PBP3PP/3K3R w - - 1 21,d1e2 h5g5 f3f4 g5f4 c6f3 f4d2
22701,8/7p/3k4/3pp3/4n1P1/P2NPK2/2r2P2/R7 w - - 2 42,a1b1 e4d2 f3g2 d2b1
22702,5rk1/1Q3pbp/1p4p1/1N2pq2/Pp1PN3/4P1P1/1Br2PKP/R7 w - - 3 25,a1b1 c2f2 e4f2 f5b1
22703,7k/1pp4p/1b1p3p/pP1qp3/P2P4/4R2P/3Q1PrP/R4K2 w - - 9 29,e3g3 g2g3 h2g3 d5h1 f1e2 h1a1
22704,8/p3k3/2R1B3/1K6/1PP3P1/r3b3/8/8 w - - 3 42,c6a6 a3a6 b5a6 e7e6
22705,r4rk1/1b2bpp1/p1qp3p/2n1pP2/NB6/1B1Q4/P1P3PP/3RR1K1 w - - 1 24,b4c5 c6g2
22706,8/8/R5P1/p3k3/4p3/1P1p4/P2K1Pr1/8 w - - 5 55,d2e1 g2g1 e1d2 g1f1 a6a5 e5f4 a5a8 f1f2
22707,2r2rk1/3b2pp/p7/1pbqp3/3p4/3B1P2/PP1B2PP/2RQR1K1 b - - 1 29,d7f5 d3f5 f8f5 b2b4
22708,2kr3r/p1p1q1b1/1p2b2n/1P2B2p/2PpP3/PQ1B1N1P/6P1/R3K2R b KQ - 0 20,e6c4 d3c4 g7e5 c4e6
22709,5rk1/4qb1p/6p1/pQ3pN1/3b3P/1P2pP2/1P4P1/2R1R1K1 w - - 0 28,g5f7 e3e2 g1h2 e7h4
22710,3kb2R/5p2/1p2pP2/3pP3/2p5/P1P1K3/1P1R4/4r3 w - - 5 52,e3d4 e1e4
22711,7k/1p4pp/r7/p1pp1bq1/B5R1/3PpQ1P/PPP5/6K1 b - - 1 30,f5g4 f3f8
22712,8/5p2/3p1K2/ppp5/7k/P1P2P2/1P3P2/8 w - - 0 36,f6f7 d6d5 f7e6 d5d4
22713,7k/1b1q4/p4p1p/1p2p3/1P5P/P5P1/2Q2P2/1B4K1 w - - 0 40,c2g6 d7d1 g1h2 d1h1
22714,8/8/3k3R/pK1Pn3/1b2P1p1/8/8/8 b - - 1 62,d6e7 h6e6 e7f7 e6e5
22715,r3k2r/2q3pP/p2ppb2/7Q/1p6/3B4/PPP3PP/R4n1K b kq - 0 21,c7f7 d3g6 f1g3 h2g3 f7g6 h5g6
22716,r4r2/pp4k1/1bp2qpp/5bN1/2B2PPQ/8/PP5P/4RR1K b - - 0 28,h6g5 f4g5 f5e4 e1e4
22717,4R3/7r/6pk/5p1p/5K1P/5PP1/8/8 b - - 0 46,h7g7 e8h8 g7h7 h8h7 h6h7 f4e5
22718,4rrk1/3R1qpp/b7/p4p2/5B2/2P3QP/P5PK/3R4 b - - 8 33,e8e7 d7e7 f7e7 f4d6
22719,4r2k/ppp3p1/6qp/8/3N1Pn1/2P1P1Q1/PP1N2Pr/4RRK1 w - - 0 24,f4f5 g6h5 g3g4 h2h1 g1f2 h1f1 f2f1 h5g4
22720,6k1/p5p1/7p/2N4n/P7/1rp4P/5PP1/3R2K1 b - - 0 40,c3c2 d1d8 g8f7 c5b3
22721,2kr3r/1pp2Rp1/p3p1nq/2pNp3/3nP1Q1/P2P2PP/1PP2R1K/8 b - - 9 23,h6h5 f7c7 c8b8 f2f7 h5h3 g4h3
22722,6k1/7p/8/3p1pN1/3b4/7P/PPP3P1/2K5 w - - 0 30,c2c3 d4e3 c1c2 e3g5
22723,2r2rk1/4pp1p/6pb/p3P3/Qp1qB3/5P2/PP2RP1P/1K1R4 w - - 4 23,d1d4 c8c1
22724,3r1rk1/p5pp/b2Pp3/1qP1p3/1P6/2B5/P2Q1RPP/1R2K3 w - - 0 25,f2f8 d8f8 e1d1 b5a4 d1c1 a4a3 b1b2 f8f1
22725,r5k1/3b4/6Q1/p2P1n2/2P5/2K1P3/PP1rq3/2R3R1 b - - 0 29,g8f8 g6f6 f8e8 g1g8
22726,4nr1k/p3q2p/2pn1rpb/4p3/PP2P1b1/1Q2B3/3RN1PP/1BNR2K1 b - - 9 26,d6e4 e3h6 e4d2 h6d2 g4e2 c1e2
22727,3q1rk1/N1r3pp/1Bp2n2/2bp4/4n3/3Q1N2/PP3PPP/R4RK1 w - - 4 20,b6c7 d8c7 a7c6 c7c6
22728,5rk1/5qbp/2p1p2n/R1NpP1p1/2bQ2P1/2P1RN2/5PKP/8 w - - 5 27,h2h3 c4e2 g2g1 e2f3
22729,r3N2k/p4Bpp/2Qb4/8/6b1/1P2q1P1/P4RPP/2R3K1 w - - 2 24,c6a8 e3c1 f2f1 d6c5 g1h1 c1f1
22730,2r5/6k1/Q5p1/6q1/8/P7/1Pr5/1KR5 w - - 0 36,c1c2 g5g1 b1a2 c8c2
22731,6k1/pp1r1pp1/3q3r/1P3Q2/P3B3/7P/5PP1/5RK1 b - - 4 30,d7e7 f5c8 e7e8 c8e8
22732,5r1k/1p4pp/p2rN3/5n2/5P1q/8/PPR1Q1PP/5R1K w - - 1 27,e6f8 f5g3 h1g1 g3e2
22733,r1bq1r2/7k/2pp2p1/p3p1P1/3bP3/P1pP1P2/BPPQ4/2K4R b - - 1 23,h7g7 h1h7 g7h7 d2h2 c8h3 h2h3 h7g7 h3h6
22734,r6k/pp3Qpp/7q/8/1P5P/P5P1/3r2K1/2R2R2 w - - 3 27,f1f2 d2f2 f7f2 h6c1
22735,2b1r1k1/6pp/1p4r1/1p1pp3/8/3q1PN1/RQ4PP/R5K1 b - - 1 32,e5e4 a2a3 d3c4 a1c1 e4f3 c1c4
22736,r1b3k1/4qp1p/p2p2p1/2pP4/2B2P2/P3r2P/3Q2P1/1R2R1K1 b - - 3 25,c8f5 e1e3 e7e3 d2e3
22737,6r1/pppk4/3p1P2/3N2Kp/7p/5P1r/PPP1B3/3R4 w - - 1 28,g5h5 h3g3 h5h4 g3g2 e2b5 c7c6
22738,1B6/p7/1pB3b1/1P3k2/P7/4b2p/7P/7K b - - 1 46,g6f7 b8a7 f7b3 a4a5
22739,q5rk/pR1b4/3p1pn1/p1pPp1p1/2P1P1Pp/2PB1P1P/1Q1B4/6K1 b - - 4 32,g8b8 b7b8 a8b8 b2b8
22740,2r3k1/1p3pp1/p4n1p/8/P2Pp3/1b2P1P1/1Pq2P1P/RQBrRBK1 w - - 9 26,e1d1 c2d1 c1d2 d1d2
22741,1nb5/5p2/pk2p1p1/N2p2P1/PK1P1P2/3BP3/8/8 b - - 0 37,b8c6 a5c6 b6c6 b4a5
22742,5r1k/6bn/p3N3/1pp1np2/3q4/P2P4/1P4QP/R4R1K b - - 3 28,d4d6 g2g7
22743,3q2k1/p4pb1/1p2p3/2p1P1p1/4Q1N1/2P2P2/bPB3PK/8 b - - 1 36,d8d2 e4a8 g7f8 g4f6
22744,8/7k/8/1Q3p2/1P2bP2/4K3/7p/8 w - - 0 58,b5f1 h2h1q f1h1 e4h1
22745,3r3k/pp4p1/2p1R2p/2P5/1P3pB1/2Q4P/P4PPK/1q3n2 w - - 8 32,h2h1 f1g3 h1h2 b1h1
22746,8/1pk5/p1pp4/4nR2/P3P1q1/1PN1b3/2P1B1P1/5RK1 w - - 4 31,g1h1 g4h4
22747,r5k1/pp1b1r1p/6q1/2pQ1p2/8/2PB3P/P4PP1/R3R1K1 w - - 1 22,d5b7 d7c6 b7c6 g6c6
22748,4r1k1/pp2r1p1/n6p/2pP1q2/2P1NP2/2P5/P1Q3PP/4RRK1 w - - 1 23,e4f6 f5f6
22749,2R5/pp3k2/1q2p2p/3rPp1P/1P1P2p1/2Q5/P5P1/6K1 b - - 0 33,d5e5 c3c7 b6c7 c8c7 f7f6 d4e5
22750,4rrk1/ppp5/1qn4p/4P3/3P2pP/P3Q3/1P3BP1/1K1RR3 w - - 0 30,e3h6 f8f2 h6g6 g8f8 e1e2 f2e2
22751,5rk1/p1N1pq1p/1p4p1/4Q3/4P3/8/1P3PPP/3R1K2 w - - 1 22,f1g1 f7f2 g1h1 f2f1 d1f1 f8f1
22752,6k1/5pbp/1Q4p1/p7/4p3/3q1P2/KP4PP/2R5 b - - 4 31,e4f3 c1c8 g7f8 b6c5 g8g7 c5f8
22753,2b5/4k3/4p1p1/2ppP1P1/K3pPB1/1P2P3/8/8 b - - 2 32,c8d7 a4a5 c5c4 b3c4
22754,6k1/3b2p1/2q1p1Qp/2rpP3/3N4/8/5PPP/5RK1 w - - 0 29,f1b1 c5c1 b1c1 c6c1
22755,8/8/pk6/1p4p1/2p1N3/3r1P2/2KN4/8 b - - 0 45,b5b4 d2c4 b6b5 c2d3
22756,2r1k3/4qp1N/4b1p1/2p5/8/PrQp2PP/1n3PB1/R3R1K1 w - - 1 31,c3b3 e6b3 e1e7 e8e7
22757,5rk1/pp3p1p/4bBp1/6Q1/7R/8/P1rq1PPP/5RK1 w - - 12 28,h4h7 g8h7 g5h4 d2h6
22758,r1r5/8/p5p1/2p1pk1p/2Pb4/1P1RBK2/P5PP/4R3 w - - 0 36,h2h3 e5e4 f3e2 e4d3
22759,3q1r2/6k1/2p3b1/1pQpPp1p/1P1P2pR/r2BP1P1/5KP1/2R5 w - - 3 31,d3e2 f5f4 e3f4 f8f4
22760,6k1/5ppp/p1p1rb2/4p3/3P4/2q1B1QP/Pr3PP1/1R2R1K1 b - - 0 22,e5d4 g3b8 b2b8 b1b8 f6d8 b8d8 e6e8 d8e8
22761,6k1/5p2/1r3p1p/2Q5/1B2q1P1/P3p2P/5P1K/1R6 b - - 4 43,e4b1 c5b6 e3f2 b6f2
22762,8/8/5kP1/1p1p4/1P1P1Kp1/8/8/8 b - - 1 41,g4g3 f4g3 f6g6 g3g4 g6f6 g4f4
22763,1r3k1r/p1ppqpb1/b3nNpp/2p1P3/2P2B1P/P2BQ3/1P3PP1/1K1R3R w - - 15 21,d3g6 g7f6 e5f6 e7f6 f4e5 f6g6
22764,1r5k/5p1p/p2p2p1/2pNb3/2P5/6PP/4RP2/6K1 b - - 0 31,b8b4 d5b4 c5b4 c4c5
22765,1b2k3/pp1R1p2/6p1/3Q3p/2r4P/2q3PB/P4P1K/8 b - - 1 32,b8g3 f2g3 c3b2 h3g2 c4h4 g3h4
22766,2R5/6p1/3r1k2/3r1p2/1p1p1K1P/1P1R2P1/8/8 b - - 7 45,d5e5 c8f8 f6e6 f8e8
22767,rn4k1/2p2p1p/p5pB/1p3b2/1bNP3P/1PqB4/P1P2PP1/1K1RR3 b - - 1 20,b5c4 e1e8 b4f8 e8f8
22768,2kr3r/Bp2npp1/2p1q1b1/4n2p/2P2QP1/1PN4P/P4P2/R3R1K1 b - - 1 21,h5g4 e1e5 e6f6 f4f6 g7f6 e5e7
22769,8/6n1/8/3pR2r/2kP2K1/4P3/8/8 w - - 2 55,e5h5 g7h5 g4f5 h5g3 f5e5 g3e4
22770,r6r/6kp/b1qp1bp1/p3pp2/Pp1p1n1N/1B4Q1/1PP2PP1/2N1R1KR b - - 17 37,a8f8 h4f5
22771,2r2rk1/pp3p2/3p1P1R/1P2q3/P1B1P3/5n2/3Q2P1/2R3K1 w - - 5 36,g1f2 f3d2 h6g6 g8h7 g6g7 h7h6 c1h1 e5h5
22772,3kr3/ppR1q1p1/5pQ1/3p3p/3PnB1P/6P1/PP6/6K1 b - - 3 29,e7b4 c7c8 d8c8 g6e8
22773,3qr3/p3Nkp1/7p/1pB5/8/8/PPP2PPP/4Q1K1 w - - 1 30,e1e4 d8d1 e4e1 d1e1
22774,q2k1b1r/1p1b1p1p/p5p1/3Q2P1/2n2P2/2P4P/PP6/2KR2NR b - - 1 22,c4e3 d5d7
22775,r5k1/1b4pp/1p6/pBppq3/P5Q1/1P2P3/2P3PP/5R1K b - - 0 22,e5e3 g4d7 a8f8 d7b7
22776,8/5k1p/p7/1p1Rn2N/1P3prP/7K/P7/8 b - - 3 41,f7e6 d5e5 e6e5 h3g4
22777,6k1/4R1pp/4p3/pp6/7P/5P1K/rr4P1/2R5 b - - 1 38,b2g2 c1c8
22778,r1b1kb1r/pppp1ppp/2N5/4P3/2B4q/8/PPP2nPP/RNBQ1RK1 b kq - 2 8,f2d1 c4f7
22779,8/8/8/p3kNb1/1p2p3/1P4P1/P1K2P2/8 w - - 11 53,f5e3 g5e3 f2e3 e5f5 c2d2 f5g4
22780,2r2bk1/5p1p/p3p3/P1rpPP2/1R6/2N4P/1PP3K1/5R2 b - - 0 29,c5c3 b4g4 g8h8 b2c3
22781,8/r3pp1p/1p1p4/1BbP2p1/2P1P3/p4PP1/k1K4P/1R6 b - - 1 39,e7e6 e4e5 a7a5 e5d6 c5d6 c4c5 a5b5 b1b5
22782,8/5p2/5R1P/4k1P1/2p5/3P3r/5K2/8 b - - 0 40,c4d3 f6f7 h3h2 f2e1 e5d4 h6h7 h2h1 e1d2
22783,8/8/8/pp2k2p/5p1P/PPP2K2/8/8 w - - 0 40,c3c4 a5a4 b3b4 b5c4 b4b5 c4c3 b5b6 e5d6
22784,7k/p2B1p1p/7q/4p2r/3PP1n1/PR3N2/5PP1/3Q1RK1 w - - 1 24,g2g3 h5h1 g1g2 h6h3
22785,8/8/2P2p2/1K6/4k3/1P3p2/1P3R2/2r5 w - - 2 43,b3b4 e4e3 f2h2 f3f2 h2f2 e3f2
22786,3rr1k1/Rp3pp1/7p/3p4/8/1qPQP1P1/1P3PP1/3R2K1 b - - 0 30,b3b2 d1b1 b2b1 d3b1
22787,5rk1/1p1rbppp/p2n4/2p5/2P2B2/5PP1/PP3P1P/3RR1K1 b - - 1 20,f8e8 d1d6 e7d6 e1e8
22788,4r1k1/1pp2p1p/p5p1/3p4/P7/NP6/2P2qPP/5R1K w - - 0 26,f1f2 e8e1 f2f1 e1f1
22789,1r2r1k1/pP3p2/2Q4p/2b1p1p1/5q2/1PNP3P/1PP2PP1/5RK1 b - - 2 20,c5d4 c3d5 f4f5 d5f6 f5f6 c6f6
22790,r5k1/ppp3qp/n2p3b/3Pp2Q/2P1Nr2/P6P/1P4P1/RB2R1K1 w - - 3 21,e4g3 g7g3 h5h6 g3e1
22791,3b1r2/R5B1/1p5k/2p3p1/2P2pb1/1P6/P6P/6K1 b - - 1 41,h6h5 g7f8 d8f6 f8g7
22792,1Q6/2p5/kBq2r1p/2bRp3/2P5/1P6/P4PPP/6K1 b - - 0 28,c6b6 b8a8 b6a7 a8c8 a7b7 c8b7 a6b7 d5c5
22793,2k4r/ppp1p3/2n1R3/1q6/1P1P1KQ1/2P2PP1/P3r3/R7 b - - 6 30,h8f8 e6f6 e7e6 f6f8
22794,r5k1/1b3ppp/pq6/5R2/1p2P3/1B4N1/Pb4PP/3Q3K b - - 0 24,a8f8 f5f7 f8f7 d1d7
22795,2r5/5ppk/7p/Q7/5NqP/4PbP1/5P2/4R1K1 w - - 9 45,a5a7 f3e4 a7e7 g4f3 e7e4 f3e4
22796,2R1Q3/1p3rbk/p2p4/3Pp1q1/4P1Pn/5p2/PP2BBP1/6K1 b - - 1 30,f3e2 e8f7 g5g4 f7g8 h7h6 g8e6 g4e6 d5e6
22797,4r1k1/4rppp/1p1Q1n2/2p5/8/4NbPP/3R1P2/2q2BK1 b - - 17 40,f6e4 d6e7 e4f6 d2d8 f3c6 e3d5
22798,7k/p5pp/5r2/q1b5/2PQ4/1r2P1P1/1B1R1P1P/3R2K1 w - - 3 27,d4c5 a5c5 d2d5 c5b4
22799,6k1/ppRr2pp/1B6/1p1p1bN1/8/8/PP3PPP/6K1 b - - 0 27,a7b6 c7c8 d7d8 c8d8
22800,r2q1r2/pp3p1k/2pp2b1/4p1B1/1PB1P2P/P1PP1P2/8/R3K2Q b Q - 2 21,d8d7 h4h5 g6f5 e4f5
22801,2r2k2/p6p/2p1p3/1bPp1q2/1Q1B2R1/7P/P6K/4Rr2 b - - 4 33,f5c2 g4g2 c2f5 e1f1 b5f1 g2f2
22802,r2n2k1/pppqnr1p/4p2B/1P2pp1Q/2P1B3/P2P3P/5P2/R4R1K b - - 1 23,f5e4 f1g1 e7g6 g1g6 h7g6 a1g1 f7g7 g1g6
22803,8/b7/5k2/2PK3p/6P1/7P/8/8 b - - 0 39,h5h4 d5d6 a7b8 d6d7
22804,3rk3/1Q3pp1/p3p1p1/8/8/7P/q4PP1/2R3K1 b - - 0 25,d8d7 c1c8 d7d8 b7c6
22805,3r2k1/1p2qp2/p2N1Rb1/2n1r2p/2P1pQ1P/8/PP2BP2/2KR4 w - - 2 24,d1d2 c5d3 e2d3 e4d3 f6g6 f7g6
22806,Q7/5pkp/4b1p1/4q3/7P/1P3BP1/P2r1P2/5RK1 w - - 5 28,f1d1 d2d1 f3d1 e5e1 g1h2 e1d1
22807,5r2/rbkNbpp1/2np3p/p3pP1n/1p2P3/1P1P3P/RBPNQ1P1/R6K w - - 3 34,d7f8 h5g3 h1h2 g3e2
22808,7r/8/8/3k4/P1p1R3/2P1KP2/8/8 w - - 2 66,f3f4 h8h3 e3e2 d5e4
22809,5rk1/1b1qrp2/2pNp1R1/pp2Q3/3P4/8/PPP3PP/5RK1 b - - 0 21,f7g6 f1f8 g8f8 e5h8
22810,4r1kr/p3Nppp/5nb1/2QP4/6P1/3P1P1q/PPP5/RN4K1 b - - 2 20,g8f8 e7g6 f8g8 c5f8 e8f8 g6e7
22811,6k1/3q1pp1/2p4p/R4b2/3PpQP1/4P2P/5P1K/1r6 b - - 0 38,f5e6 a5a8 g8h7 f4e4
22812,r4rk1/1b1n1p1p/pq2p1p1/1p6/3NP3/1P3PPB/5Q1P/2RR2K1 b - - 2 26,f8d8 d4e6 f7e6 d1d7 b6f2 g1f2 d8d7 h3e6 g8f8 e6d7
22813,3r2k1/1p3p2/6p1/p2bQ3/5R2/1P2p2P/P2q2P1/6RK w - - 2 32,f4h4 d5g2 g1g2 d2e1 h1h2 e1h4
22814,5qrk/pp2R1n1/8/6Qp/7P/1P6/PKP5/8 b - - 1 35,g7f5 g5h5 f5h6 h5e5
22815,5rk1/5pp1/Np1pr2p/q7/4P3/3Q4/2P3P1/4RRK1 w - - 2 28,a6c7 a5c5 f1f2 c5c7
22816,1rr3k1/1q3p1p/5Bpb/p7/8/2P1pP2/PP1R2PP/1KQR4 w - - 0 24,d2d8 c8d8 d1d8 b8d8
22817,1k1r4/1pp2Q2/5p2/p2p3p/qN1P4/2P2P2/PP2r1PP/2KR3R w - - 0 24,f7f6 d8e8 h1e1 e2e1
22818,5k2/p2q1p1p/2pP3r/4p3/N3Pp2/1P3Pb1/P2QR3/3R2K1 w - - 2 31,e2g2 d7h3 g2h2 g3h2
22819,5k1r/q3b3/1nBp1R2/3P4/6R1/r1p4P/Pp2Q3/1K6 b - - 0 30,e7f6 e2e8
22820,8/5p2/5k1p/5Pp1/4RKPP/1r6/8/8 w - g6 0 50,h4g5 h6g5
22821,6k1/1p1qb1p1/p2p1r2/3Pp1Np/7P/1P1Q2R1/PB3r1K/R7 w - - 0 30,g3g2 f2g2 h2g2 d7g4 g2h1 g4h4
22822,8/R7/2pk2p1/1p3n2/6Kp/P7/1P6/8 w - - 2 39,a7f7 f5h6 g4f3 h6f7
22823,8/pR5p/2p1r1pk/3p4/8/2P5/P4PPP/6K1 w - - 2 34,b7a7 e6e1
22824,2r5/4qpk1/p1n3p1/1p1p2P1/2pPpQ2/2P3P1/PP2PPKR/8 b - - 0 26,f7f6 g5f6 e7f6 h2h7 g7h7 f4f6
22825,8/1R3p2/2p1k2p/4P1p1/r7/2b1B2P/5PP1/6K1 w - - 1 25,b7c7 a4a1 g1h2 c3e5
22826,5rk1/8/3R2pB/8/1pP1p3/6P1/1r4K1/5N2 w - - 2 42,g2h3 f8f1 d6d8 g8h7
22827,8/5pk1/5pqp/2Q5/3p1n2/P7/5PPP/4R1K1 w - - 2 34,g2g3 f4d3 c5d4 d3e1
22828,8/1p4k1/p5p1/3PQ3/2p1P3/5qP1/7K/8 b - - 1 51,g7h6 e5h8 h6g5 h8h4
22829,3r2k1/p1ppR1p1/1p1n2rp/3PB3/8/P5P1/1P6/2K2R2 b - - 0 28,d8e8 e5d6 e8e7 d6e7
22830,r2q1rk1/p2n1pp1/2R1p2p/3pN3/3Pb3/BP2Q3/P4PPP/2R3K1 b - - 4 22,f8e8 c6d6
22831,4qnk1/pp3ppN/2p4p/3b4/3P4/3Q3P/PPB2PP1/6K1 b - - 1 23,g7g6 h7f6 g8g7 f6e8
22832,2r5/3R1p2/1kp5/4q3/8/6P1/1p3P1P/3Q2K1 w - - 2 44,d1b3 e5b5 b3e3 c6c5
22833,3r4/5p2/pp3Nk1/1p2P1pp/3n4/7P/PP3PP1/3R2K1 w - - 2 27,d1c1 d4e2 g1h2 e2c1
22834,8/1N5k/p4pp1/3P2b1/7q/1P6/P5B1/Q6K w - - 2 42,h1g1 g5e3 g1f1 h4f2
22835,2k5/pp2q3/2p1P3/2b2K2/7r/6R1/PPP2r2/R1B1Q3 w - - 3 31,f5e5 c5d6
22836,3r1rk1/pp3p2/5qP1/6N1/8/2n4Q/P1P2PP1/R3R1K1 b - - 0 25,f6g5 h3h7
22837,1r6/6pp/8/5P2/2kp2P1/3R3P/3K4/8 w - - 6 46,d2e2 b8b2 d3d2 b2d2 e2d2 c4d5 g4g5 d5e5 f5f6 g7f6 g5g6 h7g6
22838,1r6/1p3pkp/p3bqp1/2P5/1P1rB3/P7/5PPP/Q2R2K1 w - - 0 26,d1d4 e6b3 d4d1 b3d1
22839,4r1k1/5p1p/4p1pB/qpnp4/8/2b1RN2/r4PPP/2RQ2K1 b - - 1 25,a2a1 e3c3 a5c3 c1a1
22840,k5rr/pp6/1p1q4/6Qp/4R3/1P1p4/P2P1PP1/5RK1 w - - 1 26,g5e5 d6g6 g2g3 g8e8 e5e8 h8e8
